STATE,FATAL,SERIOUS,MINOR,TOTAL CASES,NUMBER INJURED,NUMBER KILLED,TOTAL CASUALTY,PEOPLE INVOLVED,SPV,UPD,TBT,MDV,BFL,OVL,DOT,WOT,DGD,BRD,RTV,OBS,SOS,DAD,PWR,FTQ,SLV,OTHERS,QUARTER,YEAR,All Sky Surface Total PAR (MJ/m^2/day),All Sky Surface UV Index (W m-2 x 40),deg Cloud Amount (%),Surface Soil Wetness (1),Precipitation Corrected (mm/day),Surface Pressure (kPa),Specific Humidity at 2 Meters (g/kg),Temperature at 2 Meters (C),Dew/Frost Point at 2 Meters (C),Earth Skin Temperature (C),Wind Direction at 2 Meters (Degrees),Wind Speed at 10 Meters Range (m/s),Wind Speed at 2 Meters (m/s),CAUSE_SUM,CAUSE_RATE,lat,lon
DELTA,21,39,11,71,196,51,247,482,68,1,6,2,7,0,0,5,3,0,2,0,0,0,0,0,11,3,Q1,2021,7.23,1.5333333333333332,60.53,0.8333333333333334,2.81,100.84,18.77,26.646666666666665,24.016666666666666,26.586666666666662,242.36666666666667,1.04,0.36,318,4.47887323943662,5.532,5.8987
EBONYI,10,19,2,31,121,27,148,274,13,0,6,0,0,0,0,5,0,0,2,0,0,0,0,0,6,0,Q1,2021,8.590000000000002,1.9333333333333331,53.57666666666668,0.5566666666666666,0.4599999999999999,99.90333333333336,14.676666666666668,27.80666666666667,19.356666666666666,28.48333333333333,222.53333333333333,3.4466666666666668,1.7033333333333331,179,5.774193548387097,6.2649,8.013
EDO,20,30,6,56,140,51,191,386,68,0,2,1,2,0,0,5,4,0,6,0,0,0,0,0,0,1,Q1,2021,7.473333333333334,1.62,61.77,0.7566666666666667,1.83,99.87,17.933333333333334,26.12333333333333,23.046666666666667,25.996666666666663,250.93333333333337,1.59,0.77,247,4.410714285714286,6.5244,5.8987
EKITI,10,19,2,31,101,13,114,175,29,0,1,1,4,0,0,1,0,0,0,0,0,1,0,0,4,0,Q1,2021,7.77,1.6900000000000002,52.56333333333333,0.66,0.8833333333333333,96.70333333333332,15.886666666666663,25.30666666666667,20.42,25.44,225.9333333333333,2.3000000000000003,1.2233333333333334,145,4.67741935483871,7.6656,5.3103
ENUGU,24,36,6,66,222,37,259,505,3,0,4,3,7,0,0,5,7,0,5,0,0,0,0,0,41,0,Q1,2021,8.17,1.82,55.71333333333333,0.6333333333333333,0.5833333333333334,99.21333333333332,15.69,26.26333333333333,20.56,26.23333333333333,268.1,2.89,1.5733333333333337,325,4.924242424242424,6.5244,7.5086
FCT,41,177,60,278,518,56,574,1289,158,0,17,4,7,2,0,1,36,0,34,1,0,1,0,0,125,14,Q1,2021,8.88,2.036666666666666,44.973333333333336,0.4566666666666667,0.1066666666666666,97.96999999999998,10.226666666666668,27.043333333333333,13.05,27.293333333333333,107.33333333333331,3.6833333333333336,1.7700000000000002,852,3.064748201438849,8.8941,7.186
GOMBE,11,59,2,72,232,31,263,388,33,0,9,7,2,3,0,2,11,0,4,2,0,0,0,0,9,0,Q1,2021,9.54,2.216666666666667,34.766666666666666,0.29,0.16,96.66,5.676666666666667,26.51333333333333,3.293333333333333,27.24,34.166666666666664,4.226666666666667,3.4433333333333334,335,4.652777777777778,10.2892,11.167
IMO,7,7,2,16,71,17,88,116,5,0,3,1,2,0,0,3,0,0,0,0,0,0,0,0,2,0,Q1,2021,7.803333333333334,1.7033333333333334,62.27333333333333,0.7533333333333333,1.5533333333333337,100.22666666666667,17.773333333333333,26.52,22.99666666666667,26.496666666666663,256.0333333333333,2.17,1.2300000000000002,104,6.5,5.572,7.0588
JIGAWA,15,50,2,67,264,35,299,443,82,1,7,1,0,12,0,6,6,0,5,7,0,0,0,1,4,0,Q1,2021,9.23,2.0466666666666664,29.19,0.1933333333333333,0.0,96.59333333333332,4.206666666666667,24.62333333333333,0.0099999999999999,24.916666666666668,47.1,2.823333333333333,1.6,366,5.462686567164179,12.228,9.561
KADUNA,104,147,5,256,1149,196,1345,2151,211,1,22,4,5,0,0,30,12,3,16,2,3,0,0,7,48,4,Q1,2021,9.286666666666669,2.1266666666666665,27.486666666666668,0.51,2.27,94.07333333333332,7.886666666666667,22.703333333333333,8.25,22.576666666666668,57.1,4.15,3.3266666666666667,1601,6.25390625,10.3764,7.709799999999999
KANO,33,100,4,137,604,100,704,1013,110,1,8,0,1,2,4,17,6,1,12,2,0,0,0,3,17,0,Q1,2021,9.356666666666667,2.1166666666666667,27.21,0.24,0.0,96.10666666666668,4.776666666666666,23.65333333333333,1.64,23.58333333333333,50.333333333333336,2.623333333333333,1.2133333333333332,841,6.138686131386861,11.999,8.522
KATSINA,19,52,0,71,287,29,316,469,74,0,2,0,3,0,0,3,7,0,2,0,0,0,0,0,1,1,Q1,2021,9.04,2.0066666666666664,26.32333333333333,0.17,0.0,95.77333333333333,4.256666666666667,24.18,0.0333333333333333,24.69,71.1,4.646666666666667,3.32,387,5.450704225352113,12.9843,7.6223
KEBBI,13,31,0,44,139,21,160,263,38,0,0,0,0,1,0,4,4,0,0,0,0,0,0,0,0,0,Q1,2021,9.103333333333332,2.02,33.39333333333334,0.1833333333333333,0.0233333333333333,98.27333333333333,5.536666666666666,26.036666666666665,3.863333333333333,26.40333333333333,71.63333333333334,3.4033333333333338,2.026666666666667,204,4.636363636363637,12.4504,4.1999
KOGI,38,83,22,143,425,94,519,1361,105,0,8,5,10,0,0,19,6,0,11,9,4,1,0,0,35,3,Q1,2021,7.893333333333333,1.7066666666666668,53.02,0.56,0.4733333333333334,98.78666666666668,14.28,26.89333333333333,18.793333333333333,27.1,162.76666666666668,2.8666666666666667,1.7733333333333334,662,4.629370629370629,7.733,6.6906
KWARA,25,62,13,100,369,69,438,680,91,0,5,6,1,1,1,17,2,0,0,0,0,0,0,0,32,7,Q1,2021,8.353333333333333,1.8533333333333333,44.41,0.32,0.19,97.62666666666668,9.526666666666666,28.066666666666663,11.653333333333334,29.40333333333333,101.76666666666668,3.81,2.1633333333333336,538,5.38,8.9669,4.3874
LAGOS,23,73,55,151,243,26,269,709,85,0,2,16,13,0,0,12,8,3,6,0,0,0,0,2,0,5,Q1,2021,7.566666666666666,1.596666666666667,56.34,0.5666666666666668,1.2166666666666666,100.66666666666669,18.8,27.396666666666665,24.063333333333333,27.61,228.86666666666667,2.09,2.08,420,2.781456953642384,6.5244,3.3792
NASARAWA,37,100,39,176,452,77,529,931,75,0,8,9,3,0,0,10,34,1,11,0,0,1,0,1,34,31,Q1,2021,8.88,2.036666666666666,44.973333333333336,0.3733333333333333,0.4433333333333333,98.15333333333332,9.793333333333337,28.166666666666668,11.816666666666668,28.83,141.5,3.043333333333333,1.7633333333333334,705,4.005681818181818,8.54,7.7197
NIGER,25,82,1,108,492,93,585,809,128,0,1,4,4,2,0,11,8,0,7,1,0,0,0,2,2,1,Q1,2021,8.506666666666666,1.856666666666667,41.3,0.3066666666666666,0.0333333333333333,99.45333333333332,10.103333333333332,28.39333333333333,13.21,29.55333333333333,103.16666666666669,3.28,1.71,693,6.416666666666667,9.0819,6.019
OGUN,58,173,68,299,670,82,752,1908,270,0,20,25,23,6,1,18,8,10,11,4,3,0,0,0,4,4,Q1,2021,7.566666666666666,1.596666666666667,56.34,0.6633333333333333,1.0333333333333334,99.92333333333332,17.933333333333334,26.37,23.11,26.48333333333333,226.6,1.8533333333333333,1.0466666666666666,1051,3.5150501672240804,6.998,3.4737
ONDO,32,76,7,115,290,43,333,752,96,0,8,3,9,0,1,14,12,3,4,0,0,0,0,2,0,0,Q1,2021,7.77,1.6900000000000002,52.56333333333333,0.66,0.8833333333333333,96.70333333333332,15.886666666666663,25.30666666666667,20.42,25.44,225.9333333333333,2.3000000000000003,1.2233333333333334,448,3.895652173913044,7.2508,5.2103
OSUN,22,72,11,105,317,43,360,749,78,0,11,6,8,0,2,7,10,2,2,2,1,0,0,3,0,0,Q1,2021,7.57,1.6133333333333333,51.903333333333336,0.6966666666666667,1.16,98.05333333333331,16.44,25.83,21.22,25.9,198.33333333333331,1.846666666666667,0.8933333333333334,465,4.428571428571429,7.5629,4.52
OYO,56,107,13,176,399,103,502,1169,129,0,14,7,19,1,2,19,17,5,4,2,0,0,2,1,0,0,Q1,2021,7.646666666666666,1.6233333333333333,51.153333333333336,0.5833333333333334,1.1133333333333335,97.76,14.910000000000002,26.09,19.39333333333333,26.35333333333333,156.66666666666666,2.83,1.53,678,3.852272727272727,7.85,3.933
PLATEAU,10,25,13,48,130,15,145,251,15,0,1,3,7,1,0,4,9,0,0,1,0,0,0,0,1,9,Q1,2021,9.056666666666668,2.086666666666667,33.73,0.1833333333333333,0.2766666666666666,95.01,5.73,27.846666666666664,2.6066666666666665,29.08333333333333,28.03333333333333,4.353333333333333,3.9533333333333336,193,4.020833333333333,9.2182,9.517
